#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="treePrior" spec="beastmap.distribution.UnconstrainedTreePrior">
#        <parameter id="lengthMean" lower="0.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <parameter id="lengthShape" lower="0.0" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <parameter id="midpointAlpha" lower="1.0" name="midpoint" spec="beast.base.inference.parameter.RealParameter">50.0</parameter>
#        <tree id="tree" spec="beastmap.evolution.TimelessTree">
#            <taxonset id="TaxonSet">
#            </taxonset>
#        </tree>
#    </distribution>
#    <prior id="Prior" name="distribution" x="@lengthMean">
#        <LogNormal id="LogNormalDistributionModel" meanInRealSpace="true" name="distr">
#            <M id="Function$Constant" spec="beast.base.core.Function$Constant" value="0.05"/>
#            <S id="Function$Constant1" spec="beast.base.core.Function$Constant" value="1.0"/>
#        </LogNormal>
#    </prior>
#    <prior id="Prior1" name="distribution" x="@lengthShape">
#        <LogNormal id="LogNormalDistributionModel1" meanInRealSpace="true" name="distr">
#            <M id="Function$Constant2" spec="beast.base.core.Function$Constant" value="2.0"/>
#            <S id="Function$Constant3" spec="beast.base.core.Function$Constant" value="1.0"/>
#        </LogNormal>
#    </prior>
#    <prior id="Prior2" name="distribution">
#        <parameter id="gammaShape" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <Exponential id="Exponential" name="distr">
#            <mean id="Function$Constant4" spec="beast.base.core.Function$Constant" value="1.0"/>
#        </Exponential>
#    </prior>
#    <prior id="Prior3" name="distribution">
#        <parameter id="kappa" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <LogNormal id="LogNormalDistributionModel2" meanInRealSpace="true" name="distr">
#            <M id="Function$Constant5" spec="beast.base.core.Function$Constant" value="3.0"/>
#            <S id="Function$Constant6" spec="beast.base.core.Function$Constant" value="0.5"/>
#        </LogNormal>
#    </prior>
#    <prior id="Prior4" name="distribution">
#        <parameter dimension="4" id="frequencies" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25 0.25 0.25 0.25</parameter>
#        <Dirichlet id="Dirichlet" name="distr">
#            <alpha id="Function$Constant7" spec="beast.base.core.Function$Constant" value="2.0 2.0 2.0 2.0"/>
#        </Dirichlet>
#    </prior>
#</input>
#
Sample	lengthMean	lengthShape	midpointAlpha	gammaShape	kappa	frequencies.1	frequencies.2	frequencies.3	frequencies.4	tree.height	tree.treeLength
0	0.03775222569605311	2.559138971997652	50.0	1.6549038887217247	5.2471677194267015	0.5287894220358584	0.17548674814176918	0.1957867075050596	0.09993712231731292	0.3043044388357801	2.1009563838889753
1	0.10599955444472618	0.36578438618946596	50.0	0.10934343629238197	1.9681706165668063	0.34532560745281016	0.07520595621782072	0.22000195145091167	0.3594664848784575	2.1433065614660713	7.373463356696053
2	0.04220564905599594	0.30197583474722217	50.0	0.606916012657609	2.8172737938208936	0.14267639190515066	0.1352869764237498	0.4603685213322893	0.2616681103388103	0.6273853235406156	3.08120985736381
3	0.04172459758215991	1.52117126554376	50.0	1.4281680529122978	3.380786303297766	0.14258443306349255	0.1616734983934945	0.27940928912268764	0.4163327794203254	0.4339290562092747	2.855886035082073
4	0.022958345902040423	0.9716658704925123	50.0	0.4490391030469402	3.8919518690204153	0.22753050858673338	0.4706934389132857	0.2145068971630239	0.08726915533695703	0.16112925931997457	1.0712800657533115
5	0.05600612583024076	3.676059215566643	50.0	1.2800683927199736	1.91056442677417	0.6692107387078863	0.13095073996411927	0.07413305106136771	0.12570547026662668	0.48166055275042546	3.2150184876484222
6	0.011190075637679748	0.5184924121398377	50.0	1.9487969346958918	1.9142508427325493	0.4040196521899085	0.16836384175193192	0.17384362711576754	0.25377287894239214	0.09152306334838813	0.6558468610258964
7	0.03754515989196219	2.677423051756091	50.0	0.5297523106351376	6.4578178839605975	0.3176505860512058	0.10109207921210714	0.2782272264900971	0.30303010824659	0.2643220350125167	2.337680200753178
8	0.025287545825390743	6.499534970234718	50.0	0.07421372556303937	1.8285178296389193	0.13730776041747209	0.23807792383855622	0.09491031608850979	0.5297039996554619	0.14221234380597178	1.4813569002567246
9	0.11333834067331466	6.274717447025895	50.0	0.3500081007299519	1.868891508994808	0.3864793541942785	0.14738941687201657	0.3148229134529953	0.1513083154807096	0.8829151904182049	6.161828647646574
10	0.14021020391798455	5.601506796072435	50.0	0.9066941817392805	4.576995447087362	0.3583944666960284	0.1770179203640242	0.22595704043792428	0.23863057250202305	0.9904537449242606	7.868549400420302
11	0.019309095241050293	0.7614225616851232	50.0	1.1887250734384083	1.8452434696656894	0.25988154954549747	0.5521280347017793	0.15820496289059877	0.029785452862124577	0.16208723245984225	0.8496050795673483
12	0.09490362582157234	0.7402961867833698	50.0	2.344128418199741	1.4121638109844412	0.240869911186466	0.11926282237534691	0.330956241575144	0.30891102486304306	1.0595241351162143	5.690947478792408
